Card UID,Time,Is Authorized
 0x23 0xDB 0x20 0x11,11:08,FALSE
 0x23 0xDB 0x20 0x11,11:09,FALSE
 0xF3 0xF 0x26 0xF,11:09,TRUE
 0xF3 0xF 0x26 0xF,11:25,TRUE
 0xF3 0xF 0x26 0xF,11:27,TRUE
 0xF3 0xF 0x26 0xF,11:29,TRUE
 0x23 0xDB 0x20 0x11,11:32,FALSE
 0x23 0xDB 0x20 0x11,11:33,FALSE
 0x23 0xDB 0x20 0x11,11:34,FALSE
 0x23 0xDB 0x20 0x11,11:34,FALSE
 0x23 0xDB 0x20 0x11,11:35,FALSE
 0x23 0xDB 0x20 0x11,11:35,FALSE
 0x23 0xDB 0x20 0x11,11:35,FALSE
 0x23 0xDB 0x20 0x11,11:35,FALSE
 0x23 0xDB 0x20 0x11,11:35,FALSE
 0x23 0xDB 0x20 0x11,11:35,FALSE
 0x23 0xDB 0x20 0x11,11:35,FALSE
 0x23 0xDB 0x20 0x11,12:18,FALSE
 0x50 0x4B 0xB0 0x42,12:18,FALSE
 0xF3 0xF 0x26 0xF,12:18,TRUE
 0xF3 0xF 0x26 0xF,12:26,TRUE
 0x50 0x4B 0xB0 0x42,12:27,FALSE
 0x50 0x4B 0xB0 0x42,12:27,FALSE
 0x50 0x4B 0xB0 0x42,12:28,FALSE
 0x50 0x4B 0xB0 0x42,12:29,FALSE
 0x50 0x4B 0xB0 0x42,12:30,FALSE
 0x50 0x4B 0xB0 0x42,12:31,FALSE
 0x50 0x4B 0xB0 0x42,12:31,FALSE
 0x50 0x4B 0xB0 0x42,12:31,FALSE
 0x23 0xDB 0x20 0x11,12:32,FALSE
 0x50 0x4B 0xB0 0x42,12:33,FALSE
 0x50 0x4B 0xB0 0x42,12:33,FALSE
 0x50 0x4B 0xB0 0x42,12:33,FALSE
 0x50 0x4B 0xB0 0x42,12:33,FALSE
 0x50 0x4B 0xB0 0x42,12:33,FALSE
 0x50 0x4B 0xB0 0x42,12:33,FALSE
 0x50 0x4B 0xB0 0x42,12:33,FALSE
 0x50 0x4B 0xB0 0x42,12:33,FALSE
 0x50 0x4B 0xB0 0x42,12:35,FALSE
 0x50 0x4B 0xB0 0x42,12:35,FALSE
 0x50 0x4B 0xB0 0x42,12:35,FALSE
 0x50 0x4B 0xB0 0x42,12:35,FALSE
 0x50 0x4B 0xB0 0x42,12:39,FALSE
 0x23 0xDB 0x20 0x11,12:41,FALSE
 0x50 0x4B 0xB0 0x42,12:41,FALSE
 0x50 0x4B 0xB0 0x42,12:41,FALSE
 0x23 0xDB 0x20 0x11,12:41,FALSE
 0xF3 0xF 0x26 0xF,12:42,TRUE
 0xF3 0xF 0x26 0xF,12:42,TRUE
 0x23 0xDB 0x20 0x11,12:42,FALSE
 0xF3 0xF 0x26 0xF,12:42,TRUE
 0x50 0x4B 0xB0 0x42,12:43,FALSE
 0x50 0x4B 0xB0 0x42,12:43,FALSE
 0x50 0x4B 0xB0 0x42,12:43,FALSE
 0xF3 0xF 0x26 0xF,12:43,TRUE
 0xF3 0xF 0x26 0xF,12:43,TRUE
 0xF3 0xF 0x26 0xF,12:44,TRUE
 0xF3 0xF 0x26 0xF,12:45,TRUE
 0x50 0x4B 0xB0 0x42,12:45,FALSE
 0x23 0xDB 0x20 0x11,12:45,FALSE
 0xF3 0xF 0x26 0xF,12:47,TRUE
 0xF3 0xF 0x26 0xF,12:47,TRUE
 0x23 0xDB 0x20 0x11,12:47,FALSE
 0x50 0x4B 0xB0 0x42,12:47,FALSE
 0x50 0x4B 0xB0 0x42,12:48,FALSE
 0x23 0xDB 0x20 0x11,12:48,FALSE
 0x23 0xDB 0x20 0x11,12:48,FALSE
 0xF3 0xF 0x26 0xF,12:48,TRUE
 0x23 0xDB 0x20 0x11,12:50,FALSE
 0xF3 0xF 0x26 0xF,12:50,TRUE
 0xF3 0xF 0x26 0xF,12:50,TRUE
 0x23 0xDB 0x20 0x11,12:50,FALSE
 0x50 0x4B 0xB0 0x42,12:51,FALSE
 0x50 0x4B 0xB0 0x42,12:51,FALSE
 0xF3 0xF 0x26 0xF,12:51,TRUE
