Card UID,Time,Is Authorized
 0xF3 0xF 0x26 0xF,22:05,True
 0xF3 0xF 0x26 0xF,22:05,True
 0xF3 0xF 0x26 0xF,22:09,True
 0xF3 0xF 0x26 0xF,22:10,True
 0x23 0xDB 0x20 0x11,22:10,False
 0x23 0xDB 0x20 0x11,22:11,False
 0x23 0xDB 0x20 0x11,22:12,False
 0x23 0xDB 0x20 0x11,22:14,False
 0x23 0xDB 0x20 0x11,22:15,False
 0x23 0xDB 0x20 0x11,22:30,False
 0x23 0xDB 0x20 0x11,22:31,False
 0x23 0xDB 0x20 0x11,22:31,False
 0x23 0xDB 0x20 0x11,22:33,False
 0x23 0xDB 0x20 0x11,22:33,False
 0x23 0xDB 0x20 0x11,22:34,False
 0x23 0xDB 0x20 0x11,22:35,False
 0x23 0xDB 0x20 0x11,22:35,False
 0x23 0xDB 0x20 0x11,22:36,False
 0x23 0xDB 0x20 0x11,22:36,False
 0x23 0xDB 0x20 0x11,22:40,False
 0x23 0xDB 0x20 0x11,22:40,False
 0x23 0xDB 0x20 0x11,22:42,False
 0x23 0xDB 0x20 0x11,22:42,False
 0x23 0xDB 0x20 0x11,22:45,False
 0x23 0xDB 0x20 0x11,22:45,False
 0x23 0xDB 0x20 0x11,22:47,False
 0x23 0xDB 0x20 0x11,22:47,False
 0x23 0xDB 0x20 0x11,22:50,False
 0x23 0xDB 0x20 0x11,22:50,False
 0x50 0x4B 0xB0 0x42,22:53,False
 0x50 0x4B 0xB0 0x42,22:53,False
 0xF3 0xF 0x26 0xF,23:03,True
 0xF3 0xF 0x26 0xF,23:03,True
 0x50 0x4B 0xB0 0x42,23:08,False
 0x50 0x4B 0xB0 0x42,23:14,False
 0x50 0x4B 0xB0 0x42,23:18,False
 0x50 0x4B 0xB0 0x42,23:18,False
 0x50 0x4B 0xB0 0x42,23:21,False
 0x50 0x4B 0xB0 0x42,23:21,False
 0x50 0x4B 0xB0 0x42,23:22,False
 0x50 0x4B 0xB0 0x42,23:32,False
 0x50 0x4B 0xB0 0x42,23:32,False
 0x50 0x4B 0xB0 0x42,23:34,False
 0x50 0x4B 0xB0 0x42,23:34,False
 0x50 0x4B 0xB0 0x42,23:36,False
 0x50 0x4B 0xB0 0x42,23:36,False
 0x50 0x4B 0xB0 0x42,23:36,False
 0x50 0x4B 0xB0 0x42,23:36,False
 0x50 0x4B 0xB0 0x42,23:41,False
